make,model,class,drive,transmission,cylinders,engine_displacement,fuel_type,fuel_type_1,city_mpg,highway_mpg,co2,fuel_economy_score,ghg_score
Hyundai,Accent,Compact Cars,Front-Wheel Drive,Manual 6-Speed,4,1.6,Regular,Regular Gasoline,27,37,282,7,7
Hyundai,Azera,Large Cars,Front-Wheel Drive,Automatic (S6),6,3.3,Regular,Regular Gasoline,20,28,391,5,5
Hyundai,Azera Limited,Large Cars,Front-Wheel Drive,Automatic (S6),6,3.3,Regular,Regular Gasoline,19,28,404,5,5
Hyundai,Elantra,Midsize Cars,Front-Wheel Drive,Auto(AM7),4,1.4,Regular,Regular Gasoline,32,40,256,8,8
Hyundai,Elantra,Midsize Cars,Front-Wheel Drive,Auto(AM7),4,1.6,Regular,Regular Gasoline,26,33,305,7,7
Hyundai,Elantra,Midsize Cars,Front-Wheel Drive,Automatic (S6),4,2.0,Regular,Regular Gasoline,28,37,282,7,7
Hyundai,Elantra,Midsize Cars,Front-Wheel Drive,Manual 6-Speed,4,2.0,Regular,Regular Gasoline,26,36,301,7,7
Hyundai,Elantra,Midsize Cars,Front-Wheel Drive,Manual 6-Speed,4,1.6,Regular,Regular Gasoline,22,30,356,5,5
Hyundai,Elantra GT,Midsize Cars,Front-Wheel Drive,Automatic (S6),4,2.0,Regular,Regular Gasoline,24,32,331,6,6
Hyundai,Elantra GT,Midsize Cars,Front-Wheel Drive,Manual 6-Speed,4,2.0,Regular,Regular Gasoline,24,32,329,6,6
Hyundai,Elantra SE,Midsize Cars,Front-Wheel Drive,Automatic (S6),4,2.0,Regular,Regular Gasoline,29,38,272,8,8
Hyundai,Ioniq,Large Cars,Front-Wheel Drive,Auto(AM6),4,1.6,Regular,Regular Gasoline,55,54,163,10,10
Hyundai,Ioniq Blue,Large Cars,Front-Wheel Drive,Auto(AM6),4,1.6,Regular,Regular Gasoline,57,59,154,10,10
Hyundai,Santa Fe AWD,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S6),6,3.3,Regular,Regular Gasoline,18,24,433,4,4
Hyundai,Santa Fe FWD,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic (S6),6,3.3,Regular,Regular Gasoline,18,25,427,4,4
Hyundai,Santa Fe Sport AWD,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S6),4,2.0,Regular,Regular Gasoline,19,26,410,5,5
